permutation,future_agreement
1,0.09074546272686365
2,0.14309284535773212
3,0.20211489425528723
4,0.11256937153142343
5,0.10311984400779961
6,0.22813859307034648
7,0.10604469776511175
8,0.1697165141742913
9,0.21081445927703615
10,0.1591420428978551
11,0.34175791210439477
12,0.11534423278836058
13,0.17069146542672867
14,0.1694915254237288
15,0.11721913904304784
16,0.3209839508024599
17,0.16386680665966702
18,0.17631618419079045
19,0.1689665516724164
20,0.11069446527673617
21,0.21178941052947353
22,0.15899205039748013
23,0.11406929653517324
24,0.10589470526473677
25,0.14676766161691915
26,0.18171591420428979
27,0.132068396580171
28,0.19416529173541322
29,0.16799160041997901
30,0.11864406779661017
31,0.06472176391180441
32,0.1976901154942253
33,0.08932053397330134
34,0.08752062396880156
35,0.12209389530523473
36,0.1094945252737363
37,0.2391630418479076
38,0.18336583170841458
39,0.09742012899355032
40,0.1623668816559172
41,0.13724313784310785
42,0.18929053547322633
43,0.2696115194240288
44,0.29728513574321286
45,0.16034198290085497
46,0.21471426428678567
47,0.21621418929053549
48,0.168141592920354
49,0.11616919154042298
50,0.1624418779061047
51,0.16439178041097946
52,0.23016349182540874
53,0.06524673766311684
54,0.15944202789860507
55,0.1727913604319784
56,0.1456427178641068
57,0.2168141592920354
58,0.1913154342282886
59,0.09187040647967602
60,0.1368681565921704
61,0.2207889605519724
62,0.2670616469176541
63,0.08819559022048898
64,0.1607919604019799
65,0.1367931603419829
66,0.191990400479976
67,0.1544922753862307
68,0.17489125543722814
69,0.20376481175941202
70,0.22041397930103496
71,0.16746662666866657
72,0.2569371531423429
73,0.2135143242837858
74,0.2654117294135293
75,0.1096445177741113
76,0.11504424778761062
77,0.06449677516124194
78,0.22603869806509674
79,0.28663566821658915
80,0.1769161541922904
81,0.0911954402279886
82,0.1694915254237288
83,0.27583620818959054
84,0.15786710664466777
85,0.25476226188690565
86,0.15051747412629368
87,0.224088795560222
88,0.17564121793910303
89,0.18771561421928903
90,0.19011549422528873
91,0.1470676466176691
92,0.1615419229038548
93,0.22521373931303434
94,0.09734513274336283
95,0.12209389530523473
96,0.09217039148042598
97,0.14751762411879407
98,0.25491225438728066
99,0.1471426428678566
100,0.1616169191540423
